Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
bl25_1.rcp | 3.591871 | 35430 | 27 | 32501 | 2.0346296 | 21360 | 27 | 22371 | 3.3349752 | 21360 | 27 | 22376 | 2.3118653 | 21202 | 27 | 28531 | 
bl25_2.rcp | 60.00019 | 564991 | -1 | 958364 | 60.00038 | 552448 | -1 | 856896 | 60.000107 | 326087 | -1 | 575471 | 60.00017 | 485627 | -1 | 965632 | 
bl25_3.rcp | 0.7662668 | 6612 | 23 | 8467 | 0.44380927 | 3908 | 23 | 5719 | 0.77534866 | 3908 | 23 | 5722 | 0.47172508 | 3007 | 23 | 7964 | 
bl25_4.rcp | 0.047567364 | 514 | 22 | 569 | 0.04527264 | 456 | 22 | 515 | 0.07529986 | 456 | 22 | 515 | 0.051199023 | 448 | 22 | 816 | 
bl25_5.rcp | 0.02721073 | 474 | 28 | 336 | 0.026877165 | 434 | 28 | 383 | 0.041653447 | 434 | 28 | 383 | 0.026452828 | 434 | 28 | 509 | 
bl25_6.rcp | 60.000072 | 978103 | -1 | 1183222 | 60.00007 | 936009 | -1 | 1233666 | 60.0001 | 554189 | -1 | 730295 | 60.000053 | 936676 | -1 | 1413848 | 
bl25_7.rcp | 0.7682057 | 12771 | 26 | 10989 | 0.26732585 | 4123 | 26 | 3973 | 0.44969076 | 4123 | 26 | 3999 | 0.2501944 | 3977 | 26 | 5352 | 
bl25_8.rcp | 60.00007 | 739670 | -1 | 1417962 | 60.00006 | 699012 | -1 | 1356679 | 60.00017 | 394934 | -1 | 831129 | 51.725388 | 571640 | 24 | 1108076 | 
bl25_9.rcp | 11.832442 | 88985 | 27 | 217991 | 9.13006 | 65923 | 27 | 155917 | 15.829017 | 65923 | 27 | 155966 | 11.276939 | 62503 | 27 | 181505 | 
bl25_10.rcp | 6.7703695 | 132445 | 23 | 98770 | 3.1234813 | 56793 | 23 | 48650 | 5.4273305 | 56793 | 23 | 48650 | 3.1462142 | 56435 | 23 | 62206 | 
bl25_11.rcp | 4.804182 | 93295 | 24 | 85676 | 3.2916327 | 56669 | 24 | 49633 | 5.3902016 | 56669 | 24 | 50207 | 2.7812073 | 51015 | 24 | 60332 | 
bl25_12.rcp | 35.876484 | 487035 | 30 | 385048 | 20.12512 | 258861 | 30 | 186854 | 34.840157 | 258861 | 30 | 204242 | 21.471413 | 255427 | 30 | 245213 | 
bl25_13.rcp | 0.01098595 | 214 | 17 | 204 | 0.009819754 | 194 | 17 | 214 | 0.017152632 | 194 | 17 | 214 | 0.009584425 | 194 | 17 | 187 | 
bl25_14.rcp | 60.00004 | 587703 | -1 | 1272857 | 60.000046 | 505967 | -1 | 1261207 | 60.00007 | 321515 | -1 | 796649 | 60.00015 | 428848 | -1 | 1206307 | 
bl25_15.rcp | 60.000164 | 789530 | -1 | 1284295 | 60.000134 | 780789 | -1 | 939034 | 60.000202 | 465872 | -1 | 585973 | 60.000084 | 572376 | -1 | 986904 | 
bl25_16.rcp | 1.7187948 | 17362 | 20 | 25652 | 0.8808229 | 9044 | 20 | 15163 | 1.5484183 | 9044 | 20 | 15238 | 0.9304889 | 7874 | 20 | 18354 | 
bl25_17.rcp | 0.025165284 | 340 | 26 | 308 | 0.020926531 | 218 | 26 | 258 | 0.03613484 | 218 | 26 | 258 | 0.020539535 | 214 | 26 | 323 | 
bl25_18.rcp | 13.896139 | 161376 | 23 | 242769 | 5.8792567 | 67376 | 23 | 89168 | 9.947175 | 67376 | 23 | 89290 | 6.2114697 | 64174 | 23 | 102646 | 
bl25_19.rcp | 0.13261642 | 1908 | 23 | 2146 | 0.09896919 | 1314 | 23 | 1388 | 0.17442705 | 1314 | 23 | 1486 | 0.108440794 | 1278 | 23 | 1819 | 
bl25_20.rcp | 42.711483 | 555660 | 28 | 428602 | 16.42501 | 182994 | 28 | 142173 | 25.96903 | 182994 | 28 | 142272 | 18.511799 | 180406 | 28 | 159773 | 
Solve by All :15       NbTL :15, NbH :15, NbCH :15, NbOH :16   TimeTL :8.198652269567052, TimeH :4.120200971576074, TimeCH :6.923734098797043, TimeOH :4.5053021617233755   BackTL :106294, BackH :48644, BackCH :48644, BackOH :47239
