Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
bl20_1.rcp | 0.062682435 | 107 | 16 | 60 | 0.056863382 | 97 | 16 | 86 | 0.04092721 | 97 | 16 | 86 | 0.03961881 | 97 | 16 | 171 | 
bl20_2.rcp | 0.032305744 | 220 | 16 | 201 | 0.026389383 | 172 | 16 | 201 | 0.03596916 | 172 | 16 | 201 | 0.027690897 | 172 | 16 | 322 | 
bl20_3.rcp | 3.5143187 | 31290 | 15 | 32342 | 2.284206 | 21910 | 15 | 27077 | 3.5824823 | 21914 | 15 | 27294 | 2.0431879 | 20726 | 15 | 44697 | 
bl20_4.rcp | 0.6262803 | 7702 | 18 | 8901 | 0.55044305 | 6216 | 18 | 7748 | 0.9070321 | 6216 | 18 | 8408 | 0.34263065 | 5942 | 18 | 10682 | 
bl20_5.rcp | 18.922607 | 188315 | 19 | 382622 | 12.231402 | 118743 | 19 | 248986 | 20.402365 | 118743 | 19 | 247283 | 12.198113 | 113533 | 19 | 276904 | 
bl20_6.rcp | 0.005304179 | 95 | 16 | 33 | 0.004730078 | 88 | 16 | 66 | 0.006238637 | 88 | 16 | 66 | 0.003398237 | 88 | 16 | 90 | 
bl20_7.rcp | 1.5155001 | 16919 | 19 | 23272 | 0.6753562 | 8299 | 19 | 10954 | 1.2292248 | 8443 | 19 | 11030 | 0.63424456 | 8089 | 19 | 17870 | 
bl20_8.rcp | 0.557786 | 12326 | 20 | 9473 | 0.1635387 | 3386 | 20 | 2983 | 0.34621745 | 3386 | 20 | 2983 | 0.2759903 | 3398 | 20 | 3910 | 
bl20_9.rcp | 0.002195645 | 45 | 14 | 12 | 0.002880798 | 45 | 14 | 26 | 0.004293062 | 45 | 14 | 26 | 0.002291525 | 45 | 14 | 95 | 
bl20_10.rcp | 0.026411436 | 726 | 16 | 671 | 0.007312466 | 202 | 16 | 153 | 0.012112831 | 202 | 16 | 153 | 0.006809334 | 202 | 16 | 207 | 
bl20_11.rcp | 0.003085375 | 123 | 17 | 37 | 0.00316603 | 107 | 17 | 31 | 0.00495811 | 107 | 17 | 31 | 0.003003179 | 107 | 17 | 64 | 
bl20_12.rcp | 1.8706906 | 23624 | 18 | 37285 | 0.8094899 | 9078 | 18 | 18868 | 1.4196371 | 9078 | 18 | 18794 | 0.81973726 | 9020 | 18 | 26107 | 
bl20_13.rcp | 0.4900102 | 4749 | 17 | 7178 | 0.22400579 | 2903 | 17 | 4909 | 0.5999126 | 2903 | 17 | 4931 | 0.2713805 | 2703 | 17 | 6791 | 
bl20_14.rcp | 0.43678316 | 5211 | 18 | 5800 | 0.2949241 | 4155 | 18 | 5722 | 0.5370465 | 4155 | 18 | 5740 | 0.23037253 | 4041 | 18 | 8465 | 
bl20_15.rcp | 0.005738836 | 106 | 13 | 41 | 0.00241402 | 50 | 13 | 19 | 0.004080674 | 50 | 13 | 19 | 0.002207408 | 50 | 13 | 71 | 
bl20_16.rcp | 0.9194644 | 24631 | 19 | 22993 | 0.5256543 | 13603 | 19 | 10607 | 0.8635448 | 13603 | 19 | 10389 | 0.5164325 | 13579 | 19 | 9924 | 
bl20_17.rcp | 0.009139022 | 42 | 15 | 37 | 0.003999997 | 42 | 15 | 43 | 0.012568815 | 42 | 15 | 43 | 0.003677693 | 42 | 15 | 70 | 
bl20_18.rcp | 0.006578587 | 54 | 18 | 57 | 0.00444354 | 54 | 18 | 69 | 0.006782142 | 54 | 18 | 69 | 0.003643139 | 54 | 18 | 111 | 
bl20_19.rcp | 0.001197673 | 23 | 14 | 7 | 9.66182E-4 | 23 | 14 | 9 | 0.001535774 | 23 | 14 | 9 | 7.93385E-4 | 23 | 14 | 26 | 
bl20_20.rcp | 0.27573818 | 5845 | 15 | 3862 | 0.095577896 | 1061 | 15 | 889 | 0.100709535 | 1061 | 15 | 894 | 0.049664833 | 1059 | 15 | 1349 | 
Solve by All :20       NbTL :20, NbH :20, NbCH :20, NbOH :20   TimeTL :1.4641908981197047, TimeH :0.898388207971584, TimeCH :1.5058819163241424, TimeOH :0.8737444042897551   BackTL :16107, BackH :9511, BackCH :9519, BackOH :9148
