Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_1_1.rcp | 0.03214965 | 109 | 282 | 13 | 0.023569776 | 109 | 282 | 14 | 0.016424721 | 109 | 282 | 14 | 0.023893362 | 109 | 282 | 24 | 
j30_1_2.rcp | 0.002076551 | 18 | 382 | 1 | 0.00221091 | 18 | 382 | 1 | 0.002206775 | 18 | 382 | 1 | 0.001733207 | 18 | 382 | 1 | 
j30_1_3.rcp | 0.002391268 | 18 | 511 | 1 | 0.002331581 | 18 | 511 | 3 | 0.002142904 | 18 | 511 | 3 | 0.00242705 | 18 | 511 | 3 | 
j30_1_4.rcp | 2.5258007 | 68660 | 531 | 30322 | 0.8256883 | 68660 | 531 | 14954 | 1.083081 | 68660 | 531 | 14954 | 1.1879027 | 68660 | 531 | 40708 | 
j30_1_5.rcp | 7.56707E-4 | 36 | 281 | 10 | 0.001166289 | 36 | 281 | 12 | 8.77706E-4 | 36 | 281 | 12 | 6.73061E-4 | 36 | 281 | 12 | 
j30_1_6.rcp | 3.24618E-4 | 18 | 285 | 0 | 3.53472E-4 | 18 | 285 | 2 | 3.74627E-4 | 18 | 285 | 2 | 3.1768E-4 | 18 | 285 | 2 | 
j30_1_7.rcp | 600.0001 | 13077752 | -1 | 17994922 | 600.00006 | 11743613 | -1 | 15675541 | 600.0001 | 10241079 | -1 | 13754612 | 600.0001 | 16785921 | -1 | 25422731 | 
j30_1_8.rcp | 3.77542E-4 | 18 | 308 | 8 | 3.64605E-4 | 18 | 308 | 6 | 4.95739E-4 | 18 | 308 | 6 | 3.5912E-4 | 18 | 308 | 6 | 
j30_1_9.rcp | 7.21888E-4 | 36 | 430 | 3 | 7.9662E-4 | 36 | 430 | 3 | 9.12322E-4 | 36 | 430 | 3 | 7.45273E-4 | 36 | 430 | 3 | 
j30_1_10.rcp | 8.71409E-4 | 36 | 454 | 7 | 6.64466E-4 | 36 | 454 | 7 | 7.37314E-4 | 36 | 454 | 7 | 6.07417E-4 | 36 | 454 | 7 | 
j30_2_1.rcp | 3.00333E-4 | 18 | 377 | 1 | 2.86513E-4 | 18 | 377 | 3 | 3.34578E-4 | 18 | 377 | 3 | 4.71733E-4 | 18 | 377 | 3 | 
j30_2_2.rcp | 3.30932E-4 | 18 | 503 | 0 | 3.12138E-4 | 18 | 503 | 1 | 3.53858E-4 | 18 | 503 | 1 | 3.42277E-4 | 18 | 503 | 1 | 
j30_2_3.rcp | 7.22835E-4 | 36 | 429 | 1 | 7.21074E-4 | 36 | 429 | 4 | 8.44652E-4 | 36 | 429 | 4 | 7.16319E-4 | 36 | 429 | 4 | 
