Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
pack001.rcp | 600.0002 | 7895493 | -1 | 9268002 | 600.0001 | 6980908 | -1 | 7317922 | 600.00024 | 4319215 | -1 | 4584305 | 600.00006 | 7285811 | -1 | 8213369 | 
pack002.rcp | 600.0001 | 5509116 | -1 | 6983389 | 600.0001 | 4629246 | -1 | 5054788 | 600.00006 | 2805194 | -1 | 3066348 | 600.0001 | 4677938 | -1 | 5114503 | 
pack003.rcp | 600.00006 | 7108058 | -1 | 6489269 | 600.00006 | 5886780 | -1 | 5581462 | 600.00006 | 3635435 | -1 | 3474482 | 600.00006 | 5832483 | -1 | 7697341 | 
pack004.rcp | 600.00006 | 11366002 | -1 | 14909087 | 600.00006 | 8663100 | -1 | 8105706 | 600.00006 | 6184721 | -1 | 5824428 | 600.00006 | 8148434 | -1 | 7075559 | 
pack005.rcp | 600.00006 | 12432580 | -1 | 14958035 | 600.0001 | 9542014 | -1 | 7893125 | 600.00006 | 6720463 | -1 | 5668843 | 600.00006 | 9664949 | -1 | 7753940 | 
pack006.rcp | 600.00006 | 12982077 | -1 | 17374183 | 600.0001 | 9942630 | -1 | 9634971 | 600.00006 | 7216553 | -1 | 7067151 | 600.0001 | 9188854 | -1 | 8601644 | 
pack007.rcp | 600.00006 | 13296172 | -1 | 20442859 | 600.00006 | 9331616 | -1 | 11693731 | 600.0002 | 7003731 | -1 | 8837131 | 600.00006 | 8739254 | -1 | 10273964 | 
pack008.rcp | 600.0001 | 13393604 | -1 | 15806089 | 600.00006 | 9411472 | -1 | 8299066 | 600.0001 | 6980075 | -1 | 6023269 | 600.00006 | 9261284 | -1 | 7785339 | 
pack009.rcp | 600.0001 | 12639019 | -1 | 16423178 | 600.0001 | 9282867 | -1 | 9187034 | 600.00006 | 6588749 | -1 | 6479670 | 600.00006 | 9403943 | -1 | 9117141 | 
pack010.rcp | 600.00006 | 11628530 | -1 | 15178234 | 600.0002 | 8693551 | -1 | 8661852 | 600.00006 | 6403239 | -1 | 6219762 | 600.00006 | 8476255 | -1 | 8020713 | 
pack011.rcp | 600.0001 | 10423746 | -1 | 12574806 | 600.0001 | 8016559 | -1 | 7211858 | 600.0001 | 5623175 | -1 | 4977966 | 600.00006 | 7539606 | -1 | 5809649 | 
pack012.rcp | 600.00006 | 10093070 | -1 | 12647198 | 600.00006 | 7638784 | -1 | 6646015 | 600.00006 | 5464079 | -1 | 4612749 | 600.00006 | 7426286 | -1 | 6027605 | 
pack013.rcp | 600.00006 | 13469245 | -1 | 19579778 | 600.0001 | 11088825 | -1 | 9475311 | 600.00006 | 7832538 | -1 | 6953254 | 600.00006 | 11259063 | -1 | 8500751 | 
