Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_1_1.rcp | 0.054838553 | 238 | 43 | 103 | 0.049719684 | 238 | 43 | 101 | 0.029194113 | 238 | 43 | 101 | 0.035873912 | 238 | 43 | 125 | 
j30_1_2.rcp | 60.000065 | 5350884 | -1 | 805198 | 60.000065 | 3588985 | -1 | 627911 | 60.000076 | 2566606 | -1 | 453052 | 60.00002 | 3420829 | -1 | 1029129 | 
j30_1_3.rcp | 0.001280118 | 80 | 47 | 27 | 0.001518493 | 80 | 47 | 13 | 0.001770944 | 80 | 47 | 13 | 0.001370125 | 80 | 47 | 16 | 
j30_1_4.rcp | 0.00178516 | 103 | 62 | 44 | 0.00247401 | 103 | 62 | 46 | 0.004429001 | 103 | 62 | 46 | 0.002478503 | 101 | 62 | 50 | 
j30_1_5.rcp | 60.000023 | 3804452 | -1 | 3883371 | 60.000065 | 2620643 | -1 | 2172458 | 60.00006 | 2254528 | -1 | 1971075 | 60.0001 | 1962226 | -1 | 1952925 | 
j30_1_6.rcp | 0.6869316 | 23470 | 48 | 33712 | 1.0470375 | 23470 | 48 | 28571 | 1.3456296 | 23470 | 48 | 27456 | 0.80397093 | 23470 | 48 | 15666 | 
j30_1_7.rcp | 0.001662325 | 118 | 60 | 27 | 0.00281089 | 118 | 60 | 29 | 0.003092344 | 118 | 60 | 29 | 0.002170455 | 118 | 60 | 30 | 
j30_1_8.rcp | 0.001528689 | 99 | 53 | 24 | 0.002007874 | 99 | 53 | 30 | 0.002543876 | 99 | 53 | 30 | 0.001907712 | 99 | 53 | 31 | 
j30_1_9.rcp | 10.606486 | 486625 | 49 | 544541 | 12.534095 | 463153 | 49 | 433815 | 18.305794 | 463153 | 49 | 433815 | 13.10626 | 463153 | 49 | 525248 | 
j30_1_10.rcp | 0.001510729 | 101 | 45 | 24 | 0.001974856 | 101 | 45 | 28 | 0.00351159 | 101 | 45 | 28 | 0.002278964 | 101 | 45 | 32 | 
j30_2_1.rcp | 8.49299E-4 | 58 | 38 | 21 | 0.001249061 | 58 | 38 | 25 | 0.001669402 | 58 | 38 | 25 | 0.001218944 | 58 | 38 | 27 | 
j30_2_2.rcp | 5.11738E-4 | 33 | 51 | 8 | 7.22279E-4 | 33 | 51 | 10 | 9.38929E-4 | 33 | 51 | 10 | 7.26243E-4 | 33 | 51 | 10 | 
j30_2_3.rcp | 0.00113456 | 101 | 43 | 7 | 0.001578942 | 101 | 43 | 12 | 0.002203686 | 101 | 43 | 12 | 0.001489374 | 101 | 43 | 13 | 
j30_2_4.rcp | 8.20586E-4 | 68 | 43 | 5 | 0.001042257 | 68 | 43 | 6 | 0.00142965 | 68 | 43 | 6 | 9.68236E-4 | 68 | 43 | 9 | 
j30_2_5.rcp | 4.44175E-4 | 33 | 51 | 6 | 5.53126E-4 | 33 | 51 | 7 | 7.42751E-4 | 33 | 51 | 7 | 5.30511E-4 | 33 | 51 | 8 | 
j30_2_6.rcp | 8.22508E-4 | 63 | 47 | 12 | 0.001647272 | 63 | 47 | 10 | 0.00197373 | 63 | 47 | 10 | 0.001552004 | 63 | 47 | 12 | 
j30_2_7.rcp | 6.29692E-4 | 57 | 47 | 8 | 8.4178E-4 | 57 | 47 | 8 | 0.001128827 | 57 | 47 | 8 | 0.001237846 | 57 | 47 | 10 | 
j30_2_8.rcp | 0.001037975 | 52 | 54 | 19 | 0.001089816 | 52 | 54 | 22 | 0.001339772 | 52 | 54 | 22 | 0.001022008 | 52 | 54 | 23 | 
j30_2_9.rcp | 0.002521665 | 121 | 54 | 16 | 0.002702928 | 121 | 54 | 19 | 0.00294988 | 121 | 54 | 19 | 0.001984983 | 121 | 54 | 20 | 
j30_2_10.rcp | 0.002009005 | 150 | 43 | 42 | 0.002976434 | 150 | 43 | 48 | 0.003871511 | 150 | 43 | 48 | 0.003341597 | 150 | 43 | 64 | 
j30_3_1.rcp | 9.56576E-4 | 52 | 72 | 8 | 8.16309E-4 | 52 | 72 | 9 | 0.001038959 | 52 | 72 | 9 | 7.15689E-4 | 52 | 72 | 11 | 
j30_3_2.rcp | 3.8985E-4 | 33 | 40 | 1 | 8.72492E-4 | 33 | 40 | 4 | 0.001080648 | 33 | 40 | 4 | 5.30548E-4 | 33 | 40 | 6 | 
j30_3_3.rcp | 6.1688E-4 | 33 | 57 | 4 | 7.04785E-4 | 33 | 57 | 7 | 6.71747E-4 | 33 | 57 | 7 | 4.73475E-4 | 33 | 57 | 7 | 
j30_3_4.rcp | 6.08405E-4 | 66 | 98 | 2 | 8.23909E-4 | 66 | 98 | 2 | 0.001126282 | 66 | 98 | 2 | 0.001199222 | 66 | 98 | 2 | 
j30_3_5.rcp | 7.09026E-4 | 59 | 53 | 7 | 0.001134119 | 59 | 53 | 15 | 0.001436147 | 59 | 53 | 15 | 9.63514E-4 | 59 | 53 | 17 | 
j30_3_6.rcp | 6.58611E-4 | 33 | 54 | 2 | 7.79942E-4 | 33 | 54 | 4 | 7.02582E-4 | 33 | 54 | 4 | 4.93539E-4 | 33 | 54 | 4 | 
j30_3_7.rcp | 3.61916E-4 | 33 | 48 | 1 | 4.74772E-4 | 33 | 48 | 2 | 6.35491E-4 | 33 | 48 | 2 | 4.34958E-4 | 33 | 48 | 2 | 
j30_3_8.rcp | 5.67459E-4 | 33 | 54 | 1 | 7.71737E-4 | 33 | 54 | 3 | 0.00311528 | 33 | 54 | 3 | 8.70954E-4 | 33 | 54 | 4 | 
j30_3_9.rcp | 4.80155E-4 | 33 | 65 | 7 | 6.10281E-4 | 33 | 65 | 7 | 7.96849E-4 | 33 | 65 | 7 | 9.16291E-4 | 33 | 65 | 7 | 
j30_3_10.rcp | 0.001220121 | 56 | 59 | 3 | 0.001643726 | 56 | 59 | 8 | 0.002151851 | 56 | 59 | 8 | 9.58908E-4 | 56 | 59 | 13 | 
j30_4_1.rcp | 3.26355E-4 | 33 | 49 | 0 | 7.0455E-4 | 33 | 49 | 0 | 9.62474E-4 | 33 | 49 | 0 | 6.46235E-4 | 33 | 49 | 0 | 
j30_4_2.rcp | 2.93676E-4 | 33 | 60 | 0 | 6.95248E-4 | 33 | 60 | 0 | 8.74834E-4 | 33 | 60 | 0 | 6.29089E-4 | 33 | 60 | 0 | 
j30_4_3.rcp | 4.66928E-4 | 33 | 47 | 0 | 6.32852E-4 | 33 | 47 | 0 | 5.68489E-4 | 33 | 47 | 0 | 6.82594E-4 | 33 | 47 | 0 | 
j30_4_4.rcp | 6.93666E-4 | 33 | 57 | 0 | 6.21373E-4 | 33 | 57 | 0 | 9.82842E-4 | 33 | 57 | 0 | 4.18096E-4 | 33 | 57 | 0 | 
j30_4_5.rcp | 3.82154E-4 | 33 | 59 | 0 | 6.76316E-4 | 33 | 59 | 0 | 6.5848E-4 | 33 | 59 | 0 | 4.16982E-4 | 33 | 59 | 0 | 
j30_4_6.rcp | 3.13898E-4 | 33 | 45 | 0 | 4.14846E-4 | 33 | 45 | 0 | 6.08858E-4 | 33 | 45 | 0 | 9.2785E-4 | 33 | 45 | 0 | 
j30_4_7.rcp | 4.54973E-4 | 33 | 56 | 0 | 4.4553E-4 | 33 | 56 | 0 | 5.7385E-4 | 33 | 56 | 0 | 3.86996E-4 | 33 | 56 | 0 | 
j30_4_8.rcp | 5.26877E-4 | 33 | 55 | 0 | 6.78288E-4 | 33 | 55 | 0 | 5.74374E-4 | 33 | 55 | 0 | 3.93819E-4 | 33 | 55 | 0 | 
j30_4_9.rcp | 5.07154E-4 | 33 | 38 | 0 | 9.20617E-4 | 33 | 38 | 0 | 0.001212716 | 33 | 38 | 0 | 6.66749E-4 | 33 | 38 | 0 | 
j30_4_10.rcp | 3.36787E-4 | 33 | 48 | 0 | 4.44159E-4 | 33 | 48 | 0 | 6.1464E-4 | 33 | 48 | 0 | 6.4607E-4 | 33 | 48 | 0 | 
j30_5_1.rcp | 60.000065 | 634188 | -1 | 1279099 | 60.000023 | 432752 | -1 | 762065 | 60.000053 | 296606 | -1 | 523609 | 60.00018 | 387609 | -1 | 887848 | 
j30_5_2.rcp | 60.00001 | 842413 | -1 | 1456667 | 60.000023 | 531407 | -1 | 957013 | 60.00008 | 381497 | -1 | 690372 | 60.000286 | 530957 | -1 | 918813 | 
j30_5_3.rcp | 60.000088 | 1547663 | -1 | 1623811 | 60.000095 | 1059449 | -1 | 1291192 | 60.00002 | 736773 | -1 | 895855 | 60.000107 | 1145219 | -1 | 1352559 | 
j30_5_4.rcp | 60.00019 | 799614 | -1 | 1732657 | 60.000187 | 555393 | -1 | 1106483 | 60.000175 | 395407 | -1 | 770725 | 60.000427 | 439113 | -1 | 1047645 | 
j30_5_5.rcp | 60.000084 | 1273430 | -1 | 1852239 | 60.000023 | 813394 | -1 | 1027357 | 60.00004 | 583292 | -1 | 744297 | 60.000027 | 717106 | -1 | 1069743 | 
j30_5_6.rcp | 9.374322 | 77612 | 64 | 265841 | 12.683411 | 77612 | 64 | 199273 | 17.339268 | 77612 | 64 | 198519 | 13.981724 | 77612 | 64 | 154531 | 
j30_5_7.rcp | 60.000023 | 1912404 | -1 | 1745099 | 60.00008 | 1199278 | -1 | 1017279 | 60.000065 | 818974 | -1 | 722465 | 60.000027 | 1197483 | -1 | 884108 | 
j30_5_8.rcp | 60.00015 | 987149 | -1 | 1944014 | 60.00003 | 806711 | -1 | 705552 | 60.000107 | 562566 | -1 | 502205 | 60.000195 | 651142 | -1 | 530434 | 
j30_5_9.rcp | 60.000256 | 400086 | -1 | 1247424 | 60.00048 | 277597 | -1 | 884768 | 60.000362 | 186465 | -1 | 595168 | 60.00017 | 263535 | -1 | 899107 | 
j30_5_10.rcp | 60.000076 | 1594066 | -1 | 2432163 | 60.00004 | 1373766 | -1 | 1697310 | 60.00003 | 924785 | -1 | 1156960 | 60.000015 | 1474936 | -1 | 1711028 | 
j30_6_1.rcp | 60.000027 | 797125 | -1 | 1410098 | 60.00004 | 568697 | -1 | 1139576 | 60.000122 | 384110 | -1 | 776541 | 60.000065 | 488406 | -1 | 1172591 | 
