Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_1_1.rcp | 0.013469209 | 11 | 282 | 3 | 0.010394485 | 11 | 282 | 3 | 0.004687436 | 11 | 282 | 3 | 0.005820357 | 11 | 282 | 3 | 
j30_1_2.rcp | 0.002751893 | 9 | 382 | 0 | 0.003809688 | 9 | 382 | 0 | 0.003792039 | 9 | 382 | 0 | 0.002688872 | 9 | 382 | 1 | 
j30_1_3.rcp | 0.014104387 | 50 | 511 | 16 | 0.01100604 | 50 | 511 | 19 | 0.009314962 | 50 | 511 | 19 | 0.012390986 | 50 | 511 | 23 | 
j30_1_4.rcp | 0.006121352 | 36 | 531 | 16 | 0.0105339 | 36 | 531 | 20 | 0.006957327 | 36 | 531 | 20 | 0.008588734 | 36 | 531 | 20 | 
j30_1_5.rcp | 0.001096171 | 11 | 281 | 7 | 0.001181567 | 11 | 281 | 7 | 0.002245029 | 11 | 281 | 7 | 0.002048734 | 11 | 281 | 7 | 
j30_1_6.rcp | 0.001620837 | 10 | 285 | 0 | 0.001979795 | 10 | 285 | 3 | 0.001248929 | 10 | 285 | 3 | 0.001322292 | 10 | 285 | 3 | 
j30_1_7.rcp | 60.000065 | 2881009 | -1 | 1539949 | 60.00005 | 2330893 | -1 | 1325576 | 60.00004 | 2250337 | -1 | 1280120 | 60.00002 | 2139045 | -1 | 929883 | 
j30_1_8.rcp | 0.001140553 | 63 | 308 | 54 | 0.00130004 | 63 | 308 | 34 | 0.001339537 | 63 | 308 | 34 | 0.001359303 | 63 | 308 | 34 | 
j30_1_9.rcp | 9.71289E-4 | 59 | 430 | 5 | 0.001312218 | 59 | 430 | 6 | 0.001829397 | 59 | 430 | 6 | 0.001086179 | 59 | 430 | 6 | 
j30_1_10.rcp | 7.31866E-4 | 11 | 454 | 3 | 6.5905E-4 | 11 | 454 | 3 | 4.75254E-4 | 11 | 454 | 3 | 3.96903E-4 | 11 | 454 | 3 | 
j30_2_1.rcp | 4.06357E-4 | 10 | 377 | 1 | 4.70045E-4 | 10 | 377 | 4 | 6.94937E-4 | 10 | 377 | 4 | 5.67558E-4 | 10 | 377 | 4 | 
j30_2_2.rcp | 3.90778E-4 | 10 | 503 | 0 | 5.31402E-4 | 10 | 503 | 1 | 5.21776E-4 | 10 | 503 | 1 | 3.73163E-4 | 10 | 503 | 1 | 
j30_2_3.rcp | 0.003777533 | 249 | 429 | 27 | 0.007866673 | 249 | 429 | 27 | 0.009274271 | 249 | 429 | 27 | 0.007923052 | 249 | 429 | 27 | 
j30_2_4.rcp | 4.23791E-4 | 10 | 384 | 0 | 3.74443E-4 | 10 | 384 | 1 | 4.14193E-4 | 10 | 384 | 1 | 3.63367E-4 | 10 | 384 | 1 | 
j30_2_5.rcp | 5.2415E-4 | 10 | 430 | 1 | 4.36509E-4 | 10 | 430 | 2 | 4.2232E-4 | 10 | 430 | 2 | 3.58258E-4 | 10 | 430 | 2 | 
j30_2_6.rcp | 0.005943286 | 264 | 381 | 2 | 0.005410719 | 264 | 381 | 4 | 0.008587401 | 264 | 381 | 4 | 0.005203817 | 264 | 381 | 4 | 
j30_2_7.rcp | 4.51485E-4 | 9 | 276 | 1 | 3.57538E-4 | 9 | 276 | 1 | 3.73452E-4 | 9 | 276 | 1 | 3.20832E-4 | 9 | 276 | 2 | 
j30_2_8.rcp | 7.2275E-4 | 10 | 803 | 2 | 6.34546E-4 | 10 | 803 | 4 | 7.44635E-4 | 10 | 803 | 4 | 5.61638E-4 | 10 | 803 | 5 | 
j30_2_9.rcp | 3.86856E-4 | 8 | 405 | 1 | 4.36493E-4 | 8 | 405 | 1 | 5.86116E-4 | 8 | 405 | 1 | 4.05871E-4 | 8 | 405 | 2 | 
j30_2_10.rcp | 3.03609E-4 | 9 | 379 | 2 | 3.23705E-4 | 9 | 379 | 2 | 3.76992E-4 | 9 | 379 | 2 | 3.24649E-4 | 9 | 379 | 2 | 
j30_3_1.rcp | 7.94829E-4 | 27 | 494 | 1 | 0.001051234 | 27 | 494 | 1 | 8.37265E-4 | 27 | 494 | 1 | 8.77796E-4 | 27 | 494 | 1 | 
j30_3_2.rcp | 4.34067E-4 | 9 | 383 | 1 | 3.46419E-4 | 9 | 383 | 3 | 3.7668E-4 | 9 | 383 | 3 | 4.35797E-4 | 9 | 383 | 3 | 
