Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
j30_1_1.rcp | 0.030598445 | 109 | 282 | 13 | 0.02435834 | 109 | 282 | 14 | 0.02287091 | 109 | 282 | 14 | 0.02100474 | 109 | 282 | 24 | 
j30_1_2.rcp | 0.002297839 | 18 | 382 | 1 | 0.002285177 | 18 | 382 | 1 | 0.002220959 | 18 | 382 | 1 | 0.002088884 | 18 | 382 | 1 | 
j30_1_3.rcp | 0.002757123 | 18 | 511 | 1 | 0.00233033 | 18 | 511 | 3 | 0.003098759 | 18 | 511 | 3 | 0.002630135 | 18 | 511 | 3 | 
j30_1_4.rcp | 2.4201212 | 68660 | 531 | 30322 | 0.8706139 | 68660 | 531 | 14954 | 1.102536 | 68660 | 531 | 14954 | 1.2211685 | 68660 | 531 | 40708 | 
j30_1_5.rcp | 9.65465E-4 | 36 | 281 | 10 | 0.001064399 | 36 | 281 | 12 | 9.95171E-4 | 36 | 281 | 12 | 8.19636E-4 | 36 | 281 | 12 | 
j30_1_6.rcp | 4.23098E-4 | 18 | 285 | 0 | 7.30876E-4 | 18 | 285 | 2 | 7.3325E-4 | 18 | 285 | 2 | 6.3295E-4 | 18 | 285 | 2 | 
j30_1_7.rcp | 60.000156 | 1367664 | -1 | 1752075 | 60.00009 | 1254333 | -1 | 1571878 | 60.000088 | 1083098 | -1 | 1343343 | 60.000046 | 1708711 | -1 | 2592709 | 
j30_1_8.rcp | 3.76337E-4 | 18 | 308 | 8 | 3.62128E-4 | 18 | 308 | 6 | 4.17642E-4 | 18 | 308 | 6 | 3.44345E-4 | 18 | 308 | 6 | 
j30_1_9.rcp | 7.02281E-4 | 36 | 430 | 3 | 7.69236E-4 | 36 | 430 | 3 | 9.06449E-4 | 36 | 430 | 3 | 7.37384E-4 | 36 | 430 | 3 | 
j30_1_10.rcp | 6.42753E-4 | 36 | 454 | 7 | 6.77323E-4 | 36 | 454 | 7 | 7.60577E-4 | 36 | 454 | 7 | 6.3094E-4 | 36 | 454 | 7 | 
j30_2_1.rcp | 2.99088E-4 | 18 | 377 | 1 | 3.13083E-4 | 18 | 377 | 3 | 3.33588E-4 | 18 | 377 | 3 | 2.86952E-4 | 18 | 377 | 3 | 
j30_2_2.rcp | 3.20583E-4 | 18 | 503 | 0 | 3.07919E-4 | 18 | 503 | 1 | 3.51221E-4 | 18 | 503 | 1 | 3.16968E-4 | 18 | 503 | 1 | 
j30_2_3.rcp | 9.91458E-4 | 36 | 429 | 1 | 9.70778E-4 | 36 | 429 | 4 | 8.22871E-4 | 36 | 429 | 4 | 7.60057E-4 | 36 | 429 | 4 | 
j30_2_4.rcp | 4.09096E-4 | 18 | 384 | 0 | 5.22808E-4 | 18 | 384 | 0 | 7.24633E-4 | 18 | 384 | 0 | 4.58714E-4 | 18 | 384 | 2 | 
j30_2_5.rcp | 5.26244E-4 | 36 | 430 | 1 | 4.20092E-4 | 36 | 430 | 2 | 0.002314028 | 36 | 430 | 2 | 4.16796E-4 | 36 | 430 | 2 | 
j30_2_6.rcp | 5.33848E-4 | 42 | 381 | 7 | 6.70767E-4 | 42 | 381 | 7 | 9.3557E-4 | 42 | 381 | 7 | 5.50872E-4 | 42 | 381 | 8 | 
j30_2_7.rcp | 2.20369E-4 | 18 | 276 | 0 | 2.40939E-4 | 18 | 276 | 0 | 3.33785E-4 | 18 | 276 | 0 | 2.28988E-4 | 18 | 276 | 1 | 
j30_2_8.rcp | 2.39147E-4 | 18 | 803 | 0 | 2.62451E-4 | 18 | 803 | 2 | 3.16808E-4 | 18 | 803 | 2 | 2.41268E-4 | 18 | 803 | 2 | 
j30_2_9.rcp | 6.09993E-4 | 36 | 405 | 3 | 4.95643E-4 | 36 | 405 | 3 | 6.22719E-4 | 36 | 405 | 3 | 4.92503E-4 | 36 | 405 | 3 | 
j30_2_10.rcp | 3.88908E-4 | 38 | 379 | 3 | 4.35592E-4 | 38 | 379 | 3 | 5.2151E-4 | 38 | 379 | 3 | 6.18422E-4 | 38 | 379 | 6 | 
j30_3_1.rcp | 2.65718E-4 | 18 | 494 | 0 | 2.2531E-4 | 18 | 494 | 1 | 2.89189E-4 | 18 | 494 | 1 | 2.43781E-4 | 18 | 494 | 1 | 
j30_3_2.rcp | 2.11315E-4 | 18 | 383 | 1 | 2.74775E-4 | 18 | 383 | 2 | 2.73967E-4 | 18 | 383 | 2 | 2.2484E-4 | 18 | 383 | 2 | 
j30_3_3.rcp | 1.86825E-4 | 18 | 476 | 3 | 2.44076E-4 | 18 | 476 | 3 | 3.50142E-4 | 18 | 476 | 3 | 2.11084E-4 | 18 | 476 | 3 | 
j30_3_4.rcp | 2.22795E-4 | 18 | 997 | 0 | 2.23607E-4 | 18 | 997 | 1 | 2.70588E-4 | 18 | 997 | 1 | 3.46752E-4 | 18 | 997 | 1 | 
j30_3_5.rcp | 3.57217E-4 | 18 | 484 | 2 | 2.24187E-4 | 18 | 484 | 3 | 2.47564E-4 | 18 | 484 | 3 | 2.04306E-4 | 18 | 484 | 3 | 
j30_3_6.rcp | 5.09439E-4 | 30 | 328 | 4 | 5.72031E-4 | 30 | 328 | 6 | 7.22527E-4 | 30 | 328 | 6 | 3.41177E-4 | 30 | 328 | 6 | 
j30_3_7.rcp | 5.54359E-4 | 38 | 506 | 1 | 6.19856E-4 | 38 | 506 | 2 | 7.9124E-4 | 38 | 506 | 2 | 5.87503E-4 | 38 | 506 | 2 | 
j30_3_8.rcp | 2.93346E-4 | 18 | 368 | 0 | 2.19684E-4 | 18 | 368 | 1 | 2.55309E-4 | 18 | 368 | 1 | 1.93109E-4 | 18 | 368 | 1 | 
