Inst |timeTL |backtTL |makespanTL |propTL |timeH |backtH |makespanH |propH |timeCTLH |backtCTLH |makespanCTLH |propCTLH |timeCH |backtCH |makespanCH |propCH |
pack001.rcp | 60.000156 | 764366 | -1 | 934050 | 60.000084 | 684559 | -1 | 713151 | 60.000126 | 417747 | -1 | 446682 | 60.000065 | 719013 | -1 | 780371 | 
pack002.rcp | 60.0001 | 548441 | -1 | 674208 | 60.00016 | 453462 | -1 | 493107 | 60.00019 | 280232 | -1 | 306180 | 60.000023 | 475623 | -1 | 504339 | 
pack003.rcp | 60.000034 | 761145 | -1 | 665168 | 60.000088 | 619523 | -1 | 548651 | 60.000217 | 373309 | -1 | 335655 | 60.000202 | 635172 | -1 | 798979 | 
pack004.rcp | 60.000072 | 1082127 | -1 | 1452774 | 60.000084 | 831341 | -1 | 842214 | 60.00006 | 594693 | -1 | 583410 | 60.000027 | 826746 | -1 | 737261 | 
pack005.rcp | 60.000027 | 1225396 | -1 | 1495180 | 60.000034 | 948941 | -1 | 776178 | 60.000023 | 660396 | -1 | 540563 | 60.000065 | 933283 | -1 | 749362 | 
pack006.rcp | 60.000023 | 1283833 | -1 | 1789515 | 60.000042 | 1039260 | -1 | 1002476 | 60.000065 | 745218 | -1 | 702506 | 60.000053 | 924307 | -1 | 900555 | 
pack007.rcp | 60.00002 | 1243378 | -1 | 1987452 | 60.00008 | 905699 | -1 | 1149046 | 60.000793 | 681430 | -1 | 867450 | 60.000034 | 808979 | -1 | 968707 | 
pack008.rcp | 60.000027 | 1273383 | -1 | 1530280 | 60.0001 | 919096 | -1 | 804229 | 60.000122 | 691161 | -1 | 593646 | 60.000065 | 916514 | -1 | 769291 | 
pack009.rcp | 60.000027 | 1147522 | -1 | 1680610 | 60.000103 | 903065 | -1 | 935261 | 60.00006 | 660884 | -1 | 675984 | 60.000027 | 882537 | -1 | 942940 | 
pack010.rcp | 60.00002 | 1202259 | -1 | 1583026 | 60.000027 | 940218 | -1 | 838909 | 60.00002 | 661246 | -1 | 608550 | 60.00006 | 869740 | -1 | 768660 | 
pack011.rcp | 60.000107 | 1003178 | -1 | 1260282 | 60.000065 | 778399 | -1 | 706484 | 60.000034 | 537916 | -1 | 486513 | 60.000183 | 738238 | -1 | 593535 | 
pack012.rcp | 60.00004 | 1006095 | -1 | 1220457 | 60.000065 | 804180 | -1 | 631041 | 60.000164 | 567451 | -1 | 438773 | 60.00005 | 782881 | -1 | 589033 | 
pack013.rcp | 60.000027 | 1280591 | -1 | 1938581 | 60.000023 | 1075246 | -1 | 936966 | 60.000103 | 762327 | -1 | 683153 | 60.000046 | 1051371 | -1 | 796316 | 
pack014.rcp | 60.000114 | 1212834 | -1 | 1338400 | 60.000065 | 867521 | -1 | 861423 | 60.000027 | 613917 | -1 | 621786 | 60.00003 | 803821 | -1 | 735027 | 
pack015.rcp | 60.000053 | 1360040 | -1 | 1685113 | 60.000065 | 1054600 | -1 | 772235 | 60.00008 | 754388 | -1 | 542904 | 60.000053 | 1030171 | -1 | 747271 | 
pack016.rcp | 60.000095 | 540257 | -1 | 808085 | 60.00065 | 543897 | -1 | 527675 | 60.000103 | 326965 | -1 | 329679 | 60.000042 | 568526 | -1 | 524953 | 
pack017.rcp | 60.00008 | 470697 | -1 | 717442 | 60.000145 | 471874 | -1 | 461600 | 60.000347 | 279160 | -1 | 285164 | 60.00002 | 473072 | -1 | 448291 | 
pack018.rcp | 60.000027 | 742016 | -1 | 901631 | 60.00005 | 684299 | -1 | 571605 | 60.000183 | 426182 | -1 | 376408 | 60.0002 | 631781 | -1 | 536490 | 
pack019.rcp | 60.00004 | 711775 | -1 | 982426 | 60.00012 | 728703 | -1 | 528670 | 60.000072 | 454161 | -1 | 327157 | 60.000053 | 724331 | -1 | 547234 | 
pack020.rcp | 60.000027 | 400437 | -1 | 606482 | 60.00015 | 340228 | -1 | 477600 | 60.000042 | 218656 | -1 | 297293 | 60.000202 | 327623 | -1 | 406293 | 
pack021.rcp | 58.01606 | 553737 | 51 | 427826 | 60.000103 | 475048 | -1 | 361955 | 60.00004 | 361662 | -1 | 285190 | 60.00006 | 433986 | -1 | 332056 | 
pack022.rcp | 60.000042 | 631233 | -1 | 831816 | 60.000137 | 554524 | -1 | 618394 | 60.0002 | 373848 | -1 | 410514 | 60.000145 | 506163 | -1 | 546165 | 
pack023.rcp | 60.00005 | 947090 | -1 | 1143756 | 60.000637 | 896583 | -1 | 656580 | 60.000027 | 573978 | -1 | 420021 | 60.00013 | 846769 | -1 | 634405 | 
pack024.rcp | 60.000023 | 474770 | -1 | 636320 | 60.00005 | 403323 | -1 | 525767 | 60.000393 | 269102 | -1 | 352827 | 60.000107 | 359123 | -1 | 448181 | 
pack025.rcp | 60.00006 | 585360 | -1 | 813549 | 60.00003 | 504514 | -1 | 601011 | 60.000065 | 329350 | -1 | 404143 | 60.000145 | 460315 | -1 | 563565 | 
